06:07:04.345872761 execve cassandra /bin/sh
06:07:04.346132000 execve expr expr
06:07:04.349199663 execve cassandra /bin/sh
06:07:04.349449170 execve date date
06:07:04.351982340 execve cassandra /bin/sh
06:07:04.352226838 execve uname uname
06:07:04.353888512 execve cassandra /bin/sh
06:07:04.354142042 execve which /bin/sh
06:07:04.356984351 execve cassandra /bin/sh
06:07:04.357198792 execve ldconfig ldconfig
06:07:04.357263319 execve cassandra /bin/sh
06:07:04.357692543 execve grep grep
06:07:04.357789083 execve cassandra /bin/sh
06:07:04.358059709 execve sed sed
06:07:04.386871257 execve cassandra /bin/sh
06:07:04.387129021 execve cat cat
06:07:04.387137622 execve cassandra /bin/sh
06:07:04.387503678 execve grep grep
06:07:04.390986663 execve cassandra /bin/sh
06:07:04.391225333 execve ls ls
06:07:04.394991951 execve cassandra /bin/sh
06:07:04.395227996 execve cassandra /bin/sh
06:07:04.395234243 execve cat cat
06:07:04.395573131 execve grep grep
06:07:04.399501649 execve cassandra /bin/sh
06:07:04.399734030 execve cat cat
06:07:04.399734443 execve cassandra /bin/sh
06:07:04.400008898 execve grep grep
06:07:04.403451409 execve cassandra /bin/sh
06:07:04.403688283 execve tr tr
06:07:04.406962875 execve cassandra /bin/sh
06:07:04.407232715 execve tr tr
06:07:04.409411771 execve cassandra /bin/sh
06:07:04.409659843 execve find find
06:07:04.409690827 execve cassandra /bin/sh
06:07:04.409949972 execve cassandra /bin/sh
06:07:04.410167021 execve sort sort
06:07:04.410188471 execve head head
06:07:04.609068191 execve cassandra /bin/sh
06:07:04.609516944 execve getopt getopt
06:07:04.615839066 execve cassandra /bin/sh
06:07:04.616133979 execve id id
06:07:04.622794160 execve cassandra /bin/sh
06:07:04.623152346 execve id id
06:07:04.629463447 execve cassandra /bin/sh
06:07:04.629809209 execve java /opt/java/openjdk/bin/java
06:07:15.230809108 execve java /opt/java/openjdk/bin/java
06:07:15.231710750 execve jspawnhelper /opt/java/openjdk/lib/jspawnhelper
06:07:15.239289907 execve jspawnhelper /opt/java/openjdk/lib/jspawnhelper
06:07:15.239807386 execve ldconfig /sbin/ldconfig
