# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|java.lang.invoke.MethodHandleNatives.getNamedCon|(I[Ljava/lang/Object;)I|MHN_getNamedCon|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.init|(Ljava/lang/invoke/MemberName;Ljava/lang/Object;)V|MHN_init_Mem|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.invokeExact|([Ljava/lang/Object;)Ljava/lang/Object;|MH_invokeExact_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.invoke|([Ljava/lang/Object;)Ljava/lang/Object;|MH_invoke_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.objectFieldOffset|(Ljava/lang/invoke/MemberName;)J|MHN_objectFieldOffset|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.resolve|(Ljava/lang/invoke/MemberName;Ljava/lang/Class;)Ljava/lang/invoke/MemberName;|MHN_resolve_Mem|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setCallSiteTargetNormal|(Ljava/lang/invoke/CallSite;Ljava/lang/invoke/MethodHandle;)V|MHN_setCallSiteTargetNormal|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setCallSiteTargetVolatile|(Ljava/lang/invoke/CallSite;Ljava/lang/invoke/MethodHandle;)V|MHN_setCallSiteTargetVolatile|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.staticFieldBase|(Ljava/lang/invoke/MemberName;)Ljava/lang/Object;|MHN_staticFieldBase|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.staticFieldOffset|(Ljava/lang/invoke/MemberName;)J|MHN_staticFieldOffset|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.attach|(Ljava/lang/String;II)Ljava/nio/ByteBuffer;|Perf_Attach|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.createByteArray|(Ljava/lang/String;II[BI)Ljava/nio/ByteBuffer;|Perf_CreateByteArray|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.createLong|(Ljava/lang/String;IIJ)Ljava/nio/ByteBuffer;|Perf_CreateLong|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.detach|(Ljava/nio/ByteBuffer;)V|Perf_Detach|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.highResCounter|()J|Perf_HighResCounter|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.highResFrequency|()J|Perf_HighResFrequency|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.abort|(Ljava/lang/String;)V|jfr_abort|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.addStringConstant|(ZJLjava/lang/String;)Z|jfr_add_string_constant|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.beginRecording|()V|jfr_begin_recording|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.counterTime|()J|jfr_elapsed_counter|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.createJFR|(Z)Z|jfr_create_jfr|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.destroyJFR|()Z|jfr_destroy_jfr|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.emitEvent|(JJJ)Z|jfr_emit_event|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.emitOldObjectSamples|(JZ)V|jfr_emit_old_object_samples|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.endRecording|()V|jfr_end_recording|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.flush|(Ljdk/jfr/internal/EventWriter;II)Z|jfr_event_writer_flush|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getAllEventClasses|()Ljava/util/List;|jfr_get_all_event_classes|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getAllowedToDoEventRetransforms|()Z|jfr_allow_event_retransforms|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getClassIdNonIntrinsic|(Ljava/lang/Class;)J|jfr_class_id|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getEpochAddress|()J|jfr_get_epoch_address|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getEventWriter|()Ljava/lang/Object;|jfr_get_event_writer|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getPid|()Ljava/lang/String;|jfr_get_pid|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getStackTraceId|(I)J|jfr_stacktrace_id|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getThreadId|(Ljava/lang/Thread;)J|jfr_id_for_thread|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getTicksFrequency|()J|jfr_elapsed_frequency|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getTimeConversionFactor|()D|jfr_time_conv_factor|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getTypeId|(Ljava/lang/Class;)J|jfr_type_id|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getUnloadedEventClassCount|()J|jfr_get_unloaded_event_classes_count|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.isAvailable|()Z|jfr_is_available|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.log|(IILjava/lang/String;)V|jfr_log|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.newEventWriter|()Ljdk/jfr/internal/EventWriter;|jfr_new_event_writer|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.retransformClasses|([Ljava/lang/Class;)V|jfr_retransform_classes|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setCutoff|(JJ)Z|jfr_set_cutoff|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setEnabled|(JZ)V|jfr_set_enabled|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setFileNotification|(J)V|jfr_set_file_notification|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setForceInstrumentation|(Z)V|jfr_set_force_instrumentation|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setGlobalBufferCount|(J)V|jfr_set_global_buffer_count|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setGlobalBufferSize|(J)V|jfr_set_global_buffer_size|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setMemorySize|(J)V|jfr_set_memory_size|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setMethodSamplingInterval|(JJ)V|jfr_set_method_sampling_interval|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setOutput|(Ljava/lang/String;)V|jfr_set_output|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setRepositoryLocation|(Ljava/lang/String;)V|jfr_set_repository_location|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setSampleThreads|(Z)V|jfr_set_sample_threads|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setStackDepth|(I)V|jfr_set_stack_depth|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setStackTraceEnabled|(JZ)V|jfr_set_stacktrace_enabled|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setThreadBufferSize|(J)V|jfr_set_thread_buffer_size|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.setThreshold|(JJ)Z|jfr_set_threshold|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.shouldLog|(I)Z|jfr_should_log|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.shouldRotateDisk|()Z|jfr_should_rotate_disk|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.storeMetadataDescriptor|([B)V|jfr_store_metadata_descriptor|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.subscribeLogLevel|(Ljdk/jfr/internal/LogTag;I)V|jfr_subscribe_log_level|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.uncaughtException|(Ljava/lang/Thread;Ljava/lang/Throwable;)V|jfr_uncaught_exception|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTArenaMalloc|(JJ)V|WB_NMTArenaMalloc|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTChangeTrackingLevel|()Z|WB_NMTChangeTrackingLevel|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTCommitMemory|(JJ)V|WB_NMTCommitMemory|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTFreeArena|(J)V|WB_NMTFreeArena|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTFree|(J)V|WB_NMTFree|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTGetHashSize|()I|WB_NMTGetHashSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTIsDetailSupported|()Z|WB_NMTIsDetailSupported|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTMallocWithPseudoStackAndType|(JII)J|WB_NMTMallocWithPseudoStackAndType|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTMallocWithPseudoStack|(JI)J|WB_NMTMallocWithPseudoStack|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTMalloc|(J)J|WB_NMTMalloc|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTNewArena|(J)J|WB_NMTNewArena|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTReleaseMemory|(JJ)V|WB_NMTReleaseMemory|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTReserveMemory|(J)J|WB_NMTReserveMemory|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.NMTUncommitMemory|(JJ)V|WB_NMTUncommitMemory|BIN_SCAN
