=== JNA Direct Mapping Hits ===
Format: methodSig | lib | symbol | apiPattern | jar
<com.sun.jna.Native: void write(com.sun.jna.Pointer,long,long,int[],int,int)> | <?> | write | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setLong(com.sun.jna.Pointer,long,long,long)> | <?> | setLong | <?> | jna-4.5.1.jar
<com.sun.jna.Native: byte[] getStringBytes(com.sun.jna.Pointer,long,long)> | <?> | getStringBytes | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void freeNativeCallback(long)> | <?> | freeNativeCallback | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long createNativeCallback(com.sun.jna.Callback,java.lang.reflect.Method,java.lang.Class[],java.lang.Class,int,int,java.lang.String)> | <?> | createNativeCallback | <?> | jna-4.5.1.jar
<com.sun.jna.Native: short getShort(com.sun.jna.Pointer,long,long)> | <?> | getShort | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setPointer(com.sun.jna.Pointer,long,long,long)> | <?> | setPointer | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long invokePointer(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokePointer | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setWideString(com.sun.jna.Pointer,long,long,java.lang.String)> | <?> | setWideString | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void free(long)> | <?> | free | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void ffi_call(long,long,long,long)> | <?> | ffi_call | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long open(java.lang.String,int)> | <?> | open | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void invokeVoid(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokeVoid | <?> | jna-4.5.1.jar
<com.sun.jna.Native: byte getByte(com.sun.jna.Pointer,long,long)> | <?> | getByte | <?> | jna-4.5.1.jar
<com.sun.jna.Native: double getDouble(com.sun.jna.Pointer,long,long)> | <?> | getDouble | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setProtected(boolean)> | <?> | setProtected | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long invokeLong(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokeLong | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setMemory(com.sun.jna.Pointer,long,long,long,byte)> | <?> | setMemory | <?> | jna-4.5.1.jar
<com.sun.jna.Native: int sizeof(int)> | <?> | sizeof | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void write(com.sun.jna.Pointer,long,long,double[],int,int)> | <?> | write | <?> | jna-4.5.1.jar
<com.sun.jna.Native: int initialize_ffi_type(long)> | <?> | initialize_ffi_type | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long findSymbol(long,java.lang.String)> | <?> | findSymbol | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long malloc(long)> | <?> | malloc | <?> | jna-4.5.1.jar
<com.sun.jna.Native: java.lang.Object invokeObject(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokeObject | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long indexOf(com.sun.jna.Pointer,long,long,byte)> | <?> | indexOf | <?> | jna-4.5.1.jar
<com.sun.jna.Native: float getFloat(com.sun.jna.Pointer,long,long)> | <?> | getFloat | <?> | jna-4.5.1.jar
