library	function	address	syscall_count
libc-2.17.so	geteuid	c5e30	37
libc-2.17.so	mlockall	f85a0	37
libc-2.17.so	setrlimit	f4320	37
libc-2.17.so	getrlimit	f42f0	37
libc-2.17.so	strerror	8c150	37
