# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjava.so|java.lang.Thread.ensureMaterializedForStackWalk|(Ljava/lang/Object;)V|JVM_EnsureMaterializedForStackWalk_func|BIN_SCAN
libjava.so|java.lang.Thread.findScopedValueBindings|()Ljava/lang/Object;|JVM_FindScopedValueBindings|BIN_SCAN
libjava.so|java.lang.Thread.getNextThreadIdOffset|()J|JVM_GetNextThreadIdOffset|BIN_SCAN
libjava.so|java.lang.Thread.getStackTrace0|()Ljava/lang/Object;|JVM_GetStackTrace|BIN_SCAN
libjava.so|java.lang.Thread.getThreads|()[Ljava/lang/Thread;|JVM_GetAllThreads|BIN_SCAN
libjava.so|java.lang.Thread.holdsLock|(Ljava/lang/Object;)Z|JVM_HoldsLock|BIN_SCAN
libjava.so|java.lang.Thread.interrupt0|()V|JVM_Interrupt|BIN_SCAN
libjava.so|java.lang.Thread.scopedValueCache|()[Ljava/lang/Object;|JVM_ScopedValueCache|BIN_SCAN
libjava.so|java.lang.Thread.setCurrentThread|(Ljava/lang/Thread;)V|JVM_SetCurrentThread|BIN_SCAN
libjava.so|java.lang.Thread.setNativeName|(Ljava/lang/String;)V|JVM_SetNativeThreadName|BIN_SCAN
libjava.so|java.lang.Thread.setPriority0|(I)V|JVM_SetThreadPriority|BIN_SCAN
libjava.so|java.lang.Thread.setScopedValueCache|([Ljava/lang/Object;)V|JVM_SetScopedValueCache|BIN_SCAN
libjava.so|java.lang.Thread.sleepNanos0|(J)V|JVM_SleepNanos|BIN_SCAN
libjava.so|java.lang.Thread.start0|()V|JVM_StartThread|BIN_SCAN
libjava.so|java.lang.Thread.yield0|()V|JVM_Yield|BIN_SCAN
libjava.so|java.lang.VirtualThread.notifyJvmtiDisableSuspend|(Z)V|JVM_VirtualThreadDisableSuspend|BIN_SCAN
libjava.so|java.lang.VirtualThread.notifyJvmtiEnd|()V|JVM_VirtualThreadEnd|BIN_SCAN
libjava.so|java.lang.VirtualThread.notifyJvmtiMount|(Z)V|JVM_VirtualThreadMount|BIN_SCAN
libjava.so|java.lang.VirtualThread.notifyJvmtiStart|()V|JVM_VirtualThreadStart|BIN_SCAN
libjava.so|java.lang.VirtualThread.notifyJvmtiUnmount|(Z)V|JVM_VirtualThreadUnmount|BIN_SCAN
libjava.so|java.lang.VirtualThread.postPinnedEvent|(Ljava/lang/String;)V|JVM_VirtualThreadPinnedEvent|BIN_SCAN
libjava.so|java.lang.VirtualThread.takeVirtualThreadListToUnblock|()Ljava/lang/VirtualThread;|JVM_TakeVirtualThreadListToUnblock|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.compareAndExchangeAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.compareAndExchangeRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.compareAndExchange|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.compareAndSet|([Ljava/lang/Object;)Z|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.copyOutBootstrapArguments|(Ljava/lang/Class;[III[Ljava/lang/Object;IZLjava/lang/Object;)V|MHN_copyOutBootstrapArguments|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.expand|(Ljava/lang/invoke/MemberName;)V|MHN_expand_Mem|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndAddAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndAddRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndAdd|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseAndAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseAndRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseAnd|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseOrAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseOrRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
