declared_library	symbol	source_report
libssl.so.3	SSL_CTX_set0_tmp_dh_pkey	ffi_hits.txt
ssl	OCSP_check_nonce	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_name	ffi_hits.txt
ssl	BN_get_rfc3526_prime_1536	ffi_hits.txt
libssl.so.3	SSL_CTX_new	ffi_hits.txt
ssl	PKCS12_verify_mac	ffi_hits.txt
libssl.so.3	SSL_CTX_get_options	ffi_hits.txt
libssl.so.3	OPENSSL_init_ssl	ffi_hits.txt
libssl.so.3	SSL_set_verify	ffi_hits.txt
ssl	i2d_OCSP_REQUEST	ffi_hits.txt
ssl	OCSP_RESPONSE_free	ffi_hits.txt
ssl	d2i_PKCS12_bio	ffi_hits.txt
libssl.so.3	SSL_renegotiate_pending	ffi_hits.txt
ssl	i2d_X509	ffi_hits.txt
ssl	d2i_OCSP_RESPONSE	ffi_hits.txt
libssl.so.3	SSL_add_file_cert_subjects_to_stack	ffi_hits.txt
libssl.so.3	SSL_set_connect_state	ffi_hits.txt
libssl.so.3	SSL_set_info_callback	ffi_hits.txt
libssl.so.3	SSL_CTX_set_default_verify_paths	ffi_hits.txt
ssl	BN_get_rfc3526_prime_6144	ffi_hits.txt
libssl.so.3	SSL_set_cipher_list	ffi_hits.txt
libssl.so.3	SSL_set_verify_result	ffi_hits.txt
ssl	EVP_PKEY_free	ffi_hits.txt
ssl	OCSP_single_get0_status	ffi_hits.txt
libssl.so.3	SSL_CTX_set_tmp_dh_callback	ffi_hits.txt
libssl.so.3	SSL_verify_client_post_handshake	ffi_hits.txt
ssl	X509_LOOKUP_file	ffi_hits.txt
ssl	BN_get_rfc2409_prime_768	ffi_hits.txt
ssl	ERR_get_error	ffi_hits.txt
libssl.so.3	SSL_CTX_use_PrivateKey	ffi_hits.txt
ssl	BN_new	ffi_hits.txt
ssl	BN_set_word	ffi_hits.txt
ssl	OPENSSL_sk_num	ffi_hits.txt
ssl	EC_KEY_free	ffi_hits.txt
libssl.so.3	SSL_get_options	ffi_hits.txt
ssl	OPENSSL_sk_value	ffi_hits.txt
ssl	PEM_read_bio_Parameters	ffi_hits.txt
libssl.so.3	SSL_CTX_set_client_CA_list	ffi_hits.txt
ssl	OCSP_response_get1_basic	ffi_hits.txt
ssl	BN_get_rfc2409_prime_1024	ffi_hits.txt
ssl	OCSP_resp_find	ffi_hits.txt
libssl.so.3	SSL_set_accept_state	ffi_hits.txt
ssl	X509_LOOKUP_ctrl	ffi_hits.txt
libssl.so.3	SSL_CTX_clear_options	ffi_hits.txt
ssl	X509_STORE_CTX_get1_issuer	ffi_hits.txt
ssl	PEM_read_bio_PrivateKey	ffi_hits.txt
ssl	BIO_ctrl	ffi_hits.txt
ssl	X509_LOOKUP_hash_dir	ffi_hits.txt
ssl	X509_free	ffi_hits.txt
ssl	X509_get_ext	ffi_hits.txt
libssl.so.3	SSL_free	ffi_hits.txt
ssl	DH_set0_pqg	ffi_hits.txt
libssl.so.3	SSL_CTX_set_verify	ffi_hits.txt
libssl.so.3	TLS_server_method	ffi_hits.txt
ssl	BN_get_rfc3526_prime_3072	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_set_flags	ffi_hits.txt
libssl.so.3	SSL_get_ciphers	ffi_hits.txt
libssl.so.3	SSL_get_current_cipher	ffi_hits.txt
libssl.so.3	SSL_CTX_set_session_id_context	ffi_hits.txt
ssl	BN_get_rfc3526_prime_2048	ffi_hits.txt
libssl.so.3	SSL_set_options	ffi_hits.txt
ssl	ENGINE_register_all_complete	ffi_hits.txt
ssl	EVP_PKEY_base_id	ffi_hits.txt
ssl	X509_STORE_CTX_get0_current_issuer	ffi_hits.txt
ssl	ENGINE_load_private_key	ffi_hits.txt
ssl	FIPS_mode	ffi_hits.txt
ssl	FIPS_mode_set	ffi_hits.txt
ssl	SSL_get_peer_certificate	ffi_hits.txt
ssl	sk_value	ffi_hits.txt
ssl	ENGINE_set_default	ffi_hits.txt
ssl	ENGINE_free	ffi_hits.txt
ssl	ENGINE_ctrl_cmd_string	ffi_hits.txt
ssl	ENGINE_by_id	ffi_hits.txt
libssl.so.3	SSL_ctrl	ffi_hits.txt
ssl	EVP_PKEY_bits	ffi_hits.txt
ssl	sk_num	ffi_hits.txt
ssl	SSL_CTX_set1_groups_list	ffi_hits.txt
ssl	SSL_CTX_set_max_proto_version	ffi_hits.txt
ssl	SSL_CTX_sess_get_cache_size	ffi_hits.txt
ssl	SSL_CTX_add0_chain_cert	ffi_hits.txt
ssl	SSL_CTX_set_session_cache_mode	ffi_hits.txt
ssl	SSL_CTX_get_session_cache_mode	ffi_hits.txt
ssl	SSL_CTX_sess_set_cache_size	ffi_hits.txt
ssl	SSL_CTX_set_tlsext_ticket_keys	ffi_hits.txt
ssl	SSL_CTX_set1_groups	ffi_hits.txt
ssl	SSL_CTX_set_min_proto_version	ffi_hits.txt
ssl	SSL_CTX_set_tmp_ecdh	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
<?>	<?>	ffi_hits.txt
libcrypto.so.3	ASN1_STRING_get0_data	ffi_hits.txt
libcrypto.so.3	ASN1_STRING_length	ffi_hits.txt
libcrypto.so.3	BIO_ctrl	ffi_hits.txt
libcrypto.so.3	BIO_ctrl_pending	ffi_hits.txt
libcrypto.so.3	BIO_free	ffi_hits.txt
libcrypto.so.3	BIO_new	ffi_hits.txt
libcrypto.so.3	BIO_new_bio_pair	ffi_hits.txt
libcrypto.so.3	BIO_new_file	ffi_hits.txt
libcrypto.so.3	BIO_read	ffi_hits.txt
libcrypto.so.3	BIO_s_bio	ffi_hits.txt
libcrypto.so.3	BIO_s_file	ffi_hits.txt
libcrypto.so.3	BIO_s_mem	ffi_hits.txt
libcrypto.so.3	BIO_write	ffi_hits.txt
libcrypto.so.3	BN_get_rfc2409_prime_1024	ffi_hits.txt
libcrypto.so.3	BN_get_rfc2409_prime_768	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_1536	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_2048	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_3072	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_4096	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_6144	ffi_hits.txt
libcrypto.so.3	BN_get_rfc3526_prime_8192	ffi_hits.txt
libcrypto.so.3	BN_new	ffi_hits.txt
libcrypto.so.3	BN_set_word	ffi_hits.txt
libcrypto.so.3	CRYPTO_free	ffi_hits.txt
libcrypto.so.3	DH_free	ffi_hits.txt
libcrypto.so.3	DH_new	ffi_hits.txt
libcrypto.so.3	DH_set0_pqg	ffi_hits.txt
libcrypto.so.3	EC_GROUP_free	ffi_hits.txt
libcrypto.so.3	EC_GROUP_get_curve_name	ffi_hits.txt
libcrypto.so.3	EC_KEY_free	ffi_hits.txt
libcrypto.so.3	EC_KEY_new_by_curve_name	ffi_hits.txt
libcrypto.so.3	ERR_clear_error	ffi_hits.txt
libcrypto.so.3	ERR_error_string	ffi_hits.txt
libcrypto.so.3	ERR_error_string_n	ffi_hits.txt
libcrypto.so.3	ERR_get_error	ffi_hits.txt
libcrypto.so.3	ERR_peek_last_error	ffi_hits.txt
libcrypto.so.3	EVP_MD_fetch	ffi_hits.txt
libcrypto.so.3	EVP_MD_free	ffi_hits.txt
libcrypto.so.3	EVP_MD_get0_provider	ffi_hits.txt
libcrypto.so.3	EVP_PKEY_free	ffi_hits.txt
libcrypto.so.3	EVP_PKEY_get_base_id	ffi_hits.txt
libcrypto.so.3	EVP_PKEY_get_bits	ffi_hits.txt
libcrypto.so.3	OCSP_BASICRESP_free	ffi_hits.txt
libcrypto.so.3	OCSP_CERTID_free	ffi_hits.txt
libcrypto.so.3	OCSP_REQUEST_free	ffi_hits.txt
libcrypto.so.3	OCSP_REQUEST_new	ffi_hits.txt
libcrypto.so.3	OCSP_RESPONSE_free	ffi_hits.txt
libcrypto.so.3	OCSP_basic_verify	ffi_hits.txt
libcrypto.so.3	OCSP_cert_to_id	ffi_hits.txt
libcrypto.so.3	OCSP_check_nonce	ffi_hits.txt
libcrypto.so.3	OCSP_check_validity	ffi_hits.txt
libcrypto.so.3	OCSP_request_add0_id	ffi_hits.txt
libcrypto.so.3	OCSP_request_add1_nonce	ffi_hits.txt
libcrypto.so.3	OCSP_resp_find	ffi_hits.txt
libcrypto.so.3	OCSP_resp_get0	ffi_hits.txt
libcrypto.so.3	OCSP_resp_get0_certs	ffi_hits.txt
libcrypto.so.3	OCSP_response_get1_basic	ffi_hits.txt
libcrypto.so.3	OCSP_response_status	ffi_hits.txt
libcrypto.so.3	OCSP_single_get0_status	ffi_hits.txt
libssl.so.3	OPENSSL_init_ssl	ffi_hits.txt
libcrypto.so.3	OPENSSL_sk_num	ffi_hits.txt
libcrypto.so.3	OPENSSL_sk_value	ffi_hits.txt
libcrypto.so.3	OSSL_PROVIDER_get0_name	ffi_hits.txt
libcrypto.so.3	OpenSSL_version	ffi_hits.txt
libcrypto.so.3	OpenSSL_version_num	ffi_hits.txt
libcrypto.so.3	PEM_ASN1_read_bio	ffi_hits.txt
libcrypto.so.3	PEM_read_bio_DHparams	ffi_hits.txt
libcrypto.so.3	PEM_read_bio_ECPKParameters	ffi_hits.txt
libcrypto.so.3	PEM_read_bio_Parameters	ffi_hits.txt
libcrypto.so.3	PEM_read_bio_PrivateKey	ffi_hits.txt
libcrypto.so.3	PEM_read_bio_X509_AUX	ffi_hits.txt
libcrypto.so.3	PKCS12_free	ffi_hits.txt
libcrypto.so.3	PKCS12_parse	ffi_hits.txt
libcrypto.so.3	PKCS12_verify_mac	ffi_hits.txt
libcrypto.so.3	RAND_load_file	ffi_hits.txt
libcrypto.so.3	RAND_seed	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_auth_nid	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_kx_nid	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_name	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_finish	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_free	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_new	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_set_flags	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_set_ssl_ctx	ffi_hits.txt
libssl.so.3	SSL_CONF_cmd	ffi_hits.txt
libssl.so.3	SSL_CONF_cmd_value_type	ffi_hits.txt
libssl.so.3	SSL_CTX_add_client_CA	ffi_hits.txt
libssl.so.3	SSL_CTX_check_private_key	ffi_hits.txt
libssl.so.3	SSL_CTX_clear_options	ffi_hits.txt
libssl.so.3	SSL_CTX_ctrl	ffi_hits.txt
libssl.so.3	SSL_CTX_free	ffi_hits.txt
libssl.so.3	SSL_CTX_get_cert_store	ffi_hits.txt
libssl.so.3	SSL_CTX_get_ciphers	ffi_hits.txt
libssl.so.3	SSL_CTX_get_client_CA_list	ffi_hits.txt
libssl.so.3	SSL_CTX_get_options	ffi_hits.txt
libssl.so.3	SSL_CTX_get_timeout	ffi_hits.txt
libssl.so.3	SSL_CTX_load_verify_locations	ffi_hits.txt
libssl.so.3	SSL_CTX_new	ffi_hits.txt
libssl.so.3	SSL_CTX_set0_tmp_dh_pkey	ffi_hits.txt
libssl.so.3	SSL_CTX_set_alpn_select_cb	ffi_hits.txt
libssl.so.3	SSL_CTX_set_cert_verify_callback	ffi_hits.txt
