declared_library	symbol	reason	source_report
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
<?>	<?>	dynamic or unknown binding	ffi_hits.txt
